Incident_ID;Agency;Offense;Street;City;State;Zipcode;Forcible;Date_of_Report;Hour_of_Report;Date_of_Occurrence;Hour_of_Occurrence;Date_Found;Hour_Found;Reported_As;Premise_Description;Weapon_Description;Victim_Age;Victim_Race;Victim_Gender;Latitude;Longitude;geo_point_2d
114278;CHPD;ABANDONED VEHICLE;795 WEAVER DAIRY RD/SILO DR;CHAPEL HILL;NC;27514;N;2015-07-13;11:51:00 AM;2015-07-13;11:51:00 AM;2015-07-13;11:51:00 AM;ABANDONED AUTO;HIGHWAY/ROAD/STREET  ETC.;;;;;35.96365654;-79.03989525;35.96365654,-79.03989525
113934;CHPD;ABANDONED VEHICLE;1105 NC 54;CHAPEL HILL;NC;27514;;2015-06-26;1:19:00 PM;2015-06-26;1:00:00 PM;2015-06-26;1:15:00 PM;ABANDONED AUTO;HIGHWAY/ROAD/STREET  ETC.;;;;;35.89958948;-79.06842429;35.89958948,-79.06842429
114142;CHPD;SUSPICIOUS ABANDONED VEHICLE;FORDHAM BLVD@CARMICHAEL ST;CHAPEL HILL;NC;27514;;2015-07-06;8:12:00 AM;2015-07-06;8:12:00 AM;2015-07-06;8:12:00 AM;ABANDONED AUTO;HIGHWAY/ROAD/STREET  ETC.;;;;;;;
114142;CHPD;SUSPICIOUS ABANDONED VEHICLE;FORDHAM BLVD@CARMICHAEL ST;CHAPEL HILL;NC;27514;;2015-07-06;8:12:00 AM;2015-07-06;8:12:00 AM;2015-07-06;8:12:00 AM;ABANDONED AUTO;HIGHWAY/ROAD/STREET  ETC.;;;;;35.90561168;-79.02940566;35.90561168,-79.02940566
114142;CHPD;SUSPICIOUS VEHICLE;FORDHAM BLVD@CARMICHAEL ST;CHAPEL HILL;NC;27514;;2015-07-06;8:12:00 AM;2015-07-06;8:12:00 AM;2015-07-06;8:12:00 AM;ABANDONED AUTO;HIGHWAY/ROAD/STREET  ETC.;;;;;;;
114142;CHPD;SUSPICIOUS VEHICLE;FORDHAM BLVD@CARMICHAEL ST;CHAPEL HILL;NC;27514;;2015-07-06;8:12:00 AM;2015-07-06;8:12:00 AM;2015-07-06;8:12:00 AM;ABANDONED AUTO;HIGHWAY/ROAD/STREET  ETC.;;;;;;;
114278;CHPD;ABANDONED VEHICLE;795 WEAVER DAIRY RD/SILO DR;CHAPEL HILL;NC;27514;N;2015-07-13;11:51:00 AM;2015-07-13;11:51:00 AM;2015-07-13;11:51:00 AM;ABANDONED AUTO;HIGHWAY/ROAD/STREET  ETC.;;;;;35.96365654;-79.03989525;35.96365654,-79.03989525
113934;CHPD;ABANDONED VEHICLE;1105 NC 54;CHAPEL HILL;NC;27514;;2015-06-26;1:19:00 PM;2015-06-26;1:00:00 PM;2015-06-26;1:15:00 PM;ABANDONED AUTO;HIGHWAY/ROAD/STREET  ETC.;;;;;35.89958948;-79.06842429;35.89958948,-79.06842429
114142;CHPD;SUSPICIOUS ABANDONED VEHICLE;FORDHAM BLVD@CARMICHAEL ST;CHAPEL HILL;NC;27514;;2015-07-06;8:12:00 AM;2015-07-06;8:12:00 AM;2015-07-06;8:12:00 AM;ABANDONED AUTO;HIGHWAY/ROAD/STREET  ETC.;;;;;;;
114142;CHPD;SUSPICIOUS ABANDONED VEHICLE;FORDHAM BLVD@CARMICHAEL ST;CHAPEL HILL;NC;27514;;2015-07-06;8:12:00 AM;2015-07-06;8:12:00 AM;2015-07-06;8:12:00 AM;ABANDONED AUTO;HIGHWAY/ROAD/STREET  ETC.;;;;;35.90561168;-79.02940566;35.90561168,-79.02940566
114142;CHPD;SUSPICIOUS VEHICLE;FORDHAM BLVD@CARMICHAEL ST;CHAPEL HILL;NC;27514;;2015-07-06;8:12:00 AM;2015-07-06;8:12:00 AM;2015-07-06;8:12:00 AM;ABANDONED AUTO;HIGHWAY/ROAD/STREET  ETC.;;;;;;;
114142;CHPD;SUSPICIOUS VEHICLE;FORDHAM BLVD@CARMICHAEL ST;CHAPEL HILL;NC;27514;;2015-07-06;8:12:00 AM;2015-07-06;8:12:00 AM;2015-07-06;8:12:00 AM;ABANDONED AUTO;HIGHWAY/ROAD/STREET  ETC.;;;;;;;
172489;CHPD;CHILD KIDNAPPING;121 COLE ST;CHAPEL HILL;NC;27516;;2019-07-10;7:59:00 PM;2019-07-10;12:00:00 PM;2019-07-10;7:59:00 PM;ABDUCTION/KIDNAPPING;;;;B;M;35.90488463;-79.06481222;35.90488463,-79.06481222
158491;CHPD;CHILD KIDNAPPING;210 S ESTES DR;CHAPEL HILL;NC;27514;;2018-05-28;7:31:00 AM;2018-05-28;7:00:00 AM;2018-05-28;7:01:00 AM;ABDUCTION/KIDNAPPING;PARKING LOT/AREA;;;B;M;35.92704187;-79.02923007;35.92704187,-79.02923007
134008;CHPD;CHILD KIDNAPPING;9115 SEAWELL SCHOOL RD;CHAPEL HILL;NC;27516;N;2016-09-30;4:33:00 PM;2016-09-30;4:00:00 PM;2016-09-30;4:33:00 PM;ABDUCTION/KIDNAPPING;SCHOOL/COLLEGE;;;B;F;35.94100545;-79.0764615;35.94100545,-79.0764615
174264;CHPD;SON KIDNAPPING;216 N ROBERSON ST;CHAPEL HILL;NC;27516;;2019-09-06;3:24:00 PM;2019-09-06;3:15:00 PM;2019-09-06;3:16:00 PM;ABDUCTION/KIDNAPPING;;;36;B;M;35.91289594;-79.0638914;35.91289594,-79.0638914
164841;CHPD;SON KIDNAPPING;1471 MARTIN LUTHER KING JR BLVD;CHAPEL HILL;NC;27516;N;2018-11-12;5:59:00 PM;2018-11-12;5:30:00 PM;2018-11-12;5:59:00 PM;ABDUCTION/KIDNAPPING;HOME OF VICTIM - OTHER DWELLING;;37;B;M;35.95702107;-79.05777463;35.95702107,-79.05777463
145330;CHPD;SON KIDNAPPING;108 MAXWELL RD;CHAPEL HILL;NC;27517;N;2017-06-09;8:34:00 PM;2017-06-09;8:30:00 PM;2017-06-09;8:30:00 PM;ABDUCTION/KIDNAPPING;HOME OF VICTIM - SINGLE FAMILY;;;B;F;35.91286914;-79.02417883;35.91286914,-79.02417883
160996;CHPD;DAUGHTER KIDNAPPING;401 KILDAIRE RD;CHAPEL HILL;NC;27516;;2018-08-01;12:43:00 PM;2018-08-01;12:15:00 PM;2018-08-01;12:25:00 PM;ABDUCTION/KIDNAPPING;SCHOOL/COLLEGE;;;;;35.879773;-79.066399;35.879773,-79.066399
126453;CHPD;DAUGHTER KIDNAPPING;620 MARKET ST;CHAPEL HILL;NC;27516;N;2016-04-16;9:01:00 AM;2016-04-16;9:01:00 AM;2016-04-16;9:01:00 AM;ABDUCTION/KIDNAPPING;PARKING LOT/AREA;;;W;M;35.88089242;-79.06620666;35.88089242,-79.06620666
166633;CHPD;DAUGHTER KIDNAPPING;857 MARTIN LUTHER KING JR BLVD;CHAPEL HILL;NC;27516;;2019-01-09;6:28:00 PM;2019-01-09;6:00:00 PM;2019-01-09;6:00:00 PM;ABDUCTION/KIDNAPPING;;;;B;F;35.92809055;-79.05478853;35.92809055,-79.05478853
166234;CHPD;KIDNAPPING;106 ASHLEY FOREST RD;CHAPEL HILL;NC;27514;;2018-12-25;6:12:00 PM;2018-12-25;6:12:00 PM;2018-12-25;6:12:00 PM;ABDUCTION/KIDNAPPING;;;30;B;M;35.94376417;-79.05703468;35.94376417,-79.05703468
142451;CHPD;KIDNAPPING;351 S ESTES DR EXT;CHAPEL HILL;NC;27514;N;2017-04-02;9:59:00 PM;2017-04-02;9:54:00 PM;2017-04-02;9:59:00 PM;ABDUCTION/KIDNAPPING;HOME OF VICTIM - OTHER DWELLING;;;A;F;35.924535;-79.0224165;35.924535,-79.0224165
146169;CHPD;KIDNAPPING;101 RAIN TREE LN;CHAPEL HILL;NC;27516;;2017-07-02;10:15:00 AM;2017-07-02;10:14:00 AM;2017-07-02;10:15:00 AM;ABDUCTION/KIDNAPPING;OTHER RESIDENCE - SINGLE FAMILY DWELLING;;;;;35.90474485;-79.06412463;35.90474485,-79.06412463
130782;CHPD;KIDNAPPED;1100 NC 54;CHAPEL HILL;NC;27516;N;2016-07-20;8:40:00 PM;2016-07-20;8:20:00 PM;2016-07-20;8:30:00 PM;ABDUCTION/KIDNAPPING;HOME OF VICTIM - OTHER DWELLING;;;;;35.89950383;-79.06806249;35.89950383,-79.06806249
114552;CHPD;KIDNAPPED;506 W FRANKLIN ST;CHAPEL HILL;NC;27516;;2015-07-24;10:05:00 PM;2015-07-24;10:05:00 PM;2015-07-24;10:05:00 PM;ABDUCTION/KIDNAPPING;HIGHWAY/ROAD/STREET  ETC.;;54;;;35.91017478;-79.06354602;35.91017478,-79.06354602
146745;CHPD;KIDNAPPING;600  GOMAINS AVE;CHAPEL HILL;NC;27514;Y;2017-07-15;3:15:00 PM;2017-07-15;2:00:00 PM;2017-07-15;3:15:00 PM;ABDUCTION/KIDNAPPING;HIGHWAY/ROAD/STREET  ETC.;;;B;M;35.915931;-79.064955;35.915931,-79.064955
126491;CHPD;KIDNAPPED;216 W FRANKLIN ST/MALLETTE ST;CHAPEL HILL;NC;27516;;2016-04-17;3:31:00 PM;2016-04-17;3:21:00 PM;2016-04-17;3:21:00 PM;ABDUCTION/KIDNAPPING;HIGHWAY/ROAD/STREET  ETC.;;;W;F;35.91174821;-79.05950502;35.91174821,-79.05950502
166234;CHPD;KIDNAPPED BY SUSPICIOUS PERSON;106 ASHLEY FOREST RD;CHAPEL HILL;NC;27514;;2018-12-25;6:12:00 PM;2018-12-25;6:12:00 PM;2018-12-25;6:12:00 PM;ABDUCTION/KIDNAPPING;;;;;;;;
142451;CHPD;KIDNAPPED BY SUSPICIOUS PERSON;351 S ESTES DR EXT;CHAPEL HILL;NC;27514;N;2017-04-02;9:59:00 PM;2017-04-02;9:54:00 PM;2017-04-02;9:59:00 PM;ABDUCTION/KIDNAPPING;HOME OF VICTIM - OTHER DWELLING;;;;;;;
146169;CHPD;KIDNAPPED BY SUSPICIOUS PERSON;101 RAIN TREE LN;CHAPEL HILL;NC;27516;;2017-07-02;10:15:00 AM;2017-07-02;10:14:00 AM;2017-07-02;10:15:00 AM;ABDUCTION/KIDNAPPING;OTHER RESIDENCE - SINGLE FAMILY DWELLING;;;;;;;
130782;CHPD;CHILD KIDNAPPING;1100 NC 54;CHAPEL HILL;NC;27516;N;2016-07-20;8:40:00 PM;2016-07-20;8:20:00 PM;2016-07-20;8:30:00 PM;ABDUCTION/KIDNAPPING;HOME OF VICTIM - OTHER DWELLING;;;;;;;
114552;CHPD;CHILD KIDNAPPING;506 W FRANKLIN ST;CHAPEL HILL;NC;27516;;2015-07-24;10:05:00 PM;2015-07-24;10:05:00 PM;2015-07-24;10:05:00 PM;ABDUCTION/KIDNAPPING;HIGHWAY/ROAD/STREET  ETC.;;;;;;;
146745;CHPD;KIDNAPPING;600  GOMAINS AVE;CHAPEL HILL;NC;27514;Y;2017-07-15;3:15:00 PM;2017-07-15;2:00:00 PM;2017-07-15;3:15:00 PM;ABDUCTION/KIDNAPPING;HIGHWAY/ROAD/STREET  ETC.;;;;;;;
172489;CHPD;CHILD KIDNAPPING;121 COLE ST;CHAPEL HILL;NC;27516;;2019-07-10;7:59:00 PM;2019-07-10;12:00:00 PM;2019-07-10;7:59:00 PM;ABDUCTION/KIDNAPPING;;;;B;M;35.90488463;-79.06481222;35.90488463,-79.06481222
158491;CHPD;CHILD KIDNAPPING;210 S ESTES DR;CHAPEL HILL;NC;27514;;2018-05-28;7:31:00 AM;2018-05-28;7:00:00 AM;2018-05-28;7:01:00 AM;ABDUCTION/KIDNAPPING;PARKING LOT/AREA;;;B;M;35.92704187;-79.02923007;35.92704187,-79.02923007
134008;CHPD;CHILD KIDNAPPING;9115 SEAWELL SCHOOL RD;CHAPEL HILL;NC;27516;N;2016-09-30;4:33:00 PM;2016-09-30;4:00:00 PM;2016-09-30;4:33:00 PM;ABDUCTION/KIDNAPPING;SCHOOL/COLLEGE;;;B;F;35.94100545;-79.0764615;35.94100545,-79.0764615
174264;CHPD;SON KIDNAPPING;216 N ROBERSON ST;CHAPEL HILL;NC;27516;;2019-09-06;3:24:00 PM;2019-09-06;3:15:00 PM;2019-09-06;3:16:00 PM;ABDUCTION/KIDNAPPING;;;36;B;M;35.91289594;-79.0638914;35.91289594,-79.0638914
